city/county,state,name,sex,position,year,headline,link,description
Moses Lake,WA,Todd Voth,male,mayor,2017,Moses Lake Mayor Todd Voth resigns effective immediately - iFIBER One News,https://news.google.com/__i/rss/rd/articles/CBMikgFodHRwOi8vd3d3LmlmaWJlcm9uZS5jb20vY29sdW1iaWFfYmFzaW4vbW9zZXMtbGFrZS1tYXlvci10b2RkLXZvdGgtcmVzaWducy1lZmZlY3RpdmUtaW1tZWRpYXRlbHkvYXJ0aWNsZV85MjEzMTNiZS04NmI0LTExZTctODE0Mi1iMzMzOTUwNzU1MmQuaHRtbNIBAA?oc=5,personal attacks
Bennington,VT,Kiah Morris,female,state representative,2018,"Vermont's only black female state representative resigns after racial harassment, threats - The Washington Post",https://news.google.com/__i/rss/rd/articles/CBMikAFodHRwczovL3d3dy53YXNoaW5ndG9ucG9zdC5jb20vbmV3cy9tb3JuaW5nLW1peC93cC8yMDE4LzA5LzI4L3Zlcm1vbnRzLW9ubHktYmxhY2stZmVtYWxlLXJlcHJlc2VudGF0aXZlLXJlc2lnbnMtYWZ0ZXItcmFjaWFsLWhhcmFzc21lbnQtdGhyZWF0cy_SAQA?oc=5,racist tweets; online threats; swastikas on trees; home invaded
Gettysburg,PA,Abby Avery,female,county humane officer,2018,Adams County humane officer resigns after 'vicious' threats following investigation at Little Horse farm - LNP | LancasterOnline,https://news.google.com/__i/rss/rd/articles/CBMivwFodHRwczovL2xhbmNhc3Rlcm9ubGluZS5jb20vbmV3cy9sb2NhbC9hZGFtcy1jb3VudHktaHVtYW5lLW9mZmljZXItcmVzaWducy1hZnRlci12aWNpb3VzLXRocmVhdHMtZm9sbG93aW5nLWludmVzdGlnYXRpb24tYXQtbGl0dGxlLWhvcnNlLWZhcm0vYXJ0aWNsZV8xMzQxMmUzYS02NWRhLTExZTgtYmQ3My00ZjBkMmUzY2ZkOTQuaHRtbNIBAA?oc=5,threats after her investigation of a miniature horse farm
Lexington,MO,Fred Wiedner,male,mayor,2019,Town mayor resigns after 'absolutely disgusting' attacks on social media: 'I did not sign up for this' - Yahoo Life,https://news.google.com/__i/rss/rd/articles/CBMiX2h0dHBzOi8vd3d3LnlhaG9vLmNvbS9saWZlc3R5bGUvdG93bi1tYXlvci1yZXNpZ25zLWFmdGVyLWF0dGFja3Mtb24tc29jaWFsLW1lZGlhLTIwMDUxNjM5Ni5odG1s0gFnaHR0cHM6Ly93d3cueWFob28uY29tL2FtcGh0bWwvbGlmZXN0eWxlL3Rvd24tbWF5b3ItcmVzaWducy1hZnRlci1hdHRhY2tzLW9uLXNvY2lhbC1tZWRpYS0yMDA1MTYzOTYuaHRtbA?oc=5,social media attacks
Harrison,ID,Kayleen Walker,female,mayor,2019,"Mayor of Harrison, Idaho, resigns, citing fears for family's safety and disagreement over development - The Spokesman Review",https://news.google.com/__i/rss/rd/articles/CBMiYWh0dHBzOi8vd3d3LnNwb2tlc21hbi5jb20vc3Rvcmllcy8yMDE5L2F1Zy8xNi9tYXlvci1vZi1oYXJyaXNvbi1yZXNpZ25zLWNpdGluZy1mZWFycy1mb3ItZmFtaWx5cy_SAQA?oc=5,home vandalism and threat left on her car apparently stemming from her public comments
Grosse Pointe,MI,Brian Summerfield,male,school board president,2020,"Grosse Pointe school board president resigns, cites stress on family - Detroit News",https://news.google.com/__i/rss/rd/articles/CBMiiQFodHRwczovL3d3dy5kZXRyb2l0bmV3cy5jb20vc3RvcnkvbmV3cy9lZHVjYXRpb24vMjAyMC8wMS8wMi9ncm9zc2UtcG9pbnRlLXNjaG9vbC1ib2FyZC1wcmVzaWRlbnQtcmVzaWducy1jaXRpbmctc3RyZXNzLWZhbWlseS8yNzk4MzI0MDAxL9IBAA?oc=5,family threatened on social media stemming from school closures
New Hanover County,NC,Wayne Bullard,male,school board attorney,2020,"New Hanover school board attorney quits, cites public harassment - StarNewsOnline.com",https://news.google.com/__i/rss/rd/articles/CBMigwFodHRwczovL3d3dy5zdGFybmV3c29ubGluZS5jb20vc3Rvcnkvc3BlY2lhbC8yMDIwLzAzLzEwL25ldy1oYW5vdmVyLXNjaG9vbC1ib2FyZC1hdHRvcm5leS1xdWl0cy1jaXRlcy1wdWJsaWMtaGFyYXNzbWVudC8xNTQ2OTE4MDA3L9IBAA?oc=5,harassment
Phoenix,OR,James Snyder,male,city council member,2020,Phoenix City Council member resigns after heated meeting cites safety concerns - KTVL,https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8va3R2bC5jb20vbmV3cy9sb2NhbC9waG9lbml4LWNpdHktY291bmNpbC1tZW1iZXItcmVzaWducy1hZnRlci1oZWF0ZWQtbWVldGluZy1jaXRlcy1zYWZldHktY29uY2VybnPSAW5odHRwczovL2t0dmwuY29tL2FtcC9uZXdzL2xvY2FsL3Bob2VuaXgtY2l0eS1jb3VuY2lsLW1lbWJlci1yZXNpZ25zLWFmdGVyLWhlYXRlZC1tZWV0aW5nLWNpdGVzLXNhZmV0eS1jb25jZXJucw?oc=5,safety concerns at council meetings
Dodge City,KS,Joyce Warshaw,female,mayor,2020,I do not feel safe': Kansas GOP mayor resigns after threats over backing mask mandate - NBC News,https://news.google.com/__i/rss/rd/articles/CBMiaWh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL3BvbGl0aWNzL3BvbGl0aWNzLW5ld3MvaS1kby1ub3QtZmVlbC1zYWZlLWthbnNhcy1nb3AtbWF5b3ItcmVzaWducy1hZnRlci1uMTI1MTMzNNIBAA?oc=5,phone and email threats over COVID-19 mask mandate
Park Hills,MO,Amber Elliott,female,health department director,2020,St. Francois Co. Health Center Director resigns over threats and harassment - KFVS,https://news.google.com/__i/rss/rd/articles/CBMiaGh0dHBzOi8vd3d3LmtmdnMxMi5jb20vMjAyMC8xMS8yMC9zdC1mcmFuY29pcy1jby1oZWFsdGgtY2VudGVyLWRpcmVjdG9yLXJlc2lnbnMtb3Zlci10aHJlYXRzLWhhcmFzc21lbnQv0gF3aHR0cHM6Ly93d3cua2Z2czEyLmNvbS8yMDIwLzExLzIwL3N0LWZyYW5jb2lzLWNvLWhlYWx0aC1jZW50ZXItZGlyZWN0b3ItcmVzaWducy1vdmVyLXRocmVhdHMtaGFyYXNzbWVudC8_b3V0cHV0VHlwZT1hbXA?oc=5,threats over COVID-19 pandemic policies 
Huntington Beach,CA,Tito Ortiz,male,city council member,2021,"Tito Ortiz resigns from Huntington Beach City Council, citing threats, 'character assassination' - KABC-TV",https://news.google.com/__i/rss/rd/articles/CBMiXGh0dHBzOi8vYWJjNy5jb20vdGl0by1vcnRpei1odW50aW5ndG9uLWJlYWNoLWNpdHktY291bmNpbC1yZXNpZ25zLXBvbGl0aWNhbC1jYXJlZXIvMTA3MzEyMTIv0gEA?oc=5,threats to him and his children
